COD_MUNICIPIO;NM_MUNICIPIO;UF;AGUA_ENCANADA_PRINCIPAL;NAO_POSSUI_AGUA_ENCANADA;NAO_POSSUI_LIGACAO_ESGOTO;NAO_TINHAM_BANHEIRO_NEM_SANITARIO;PERC_COLETA_LIXO;PERC_ACESSO_INTERNET;PERC_ALFA_15MAIS;QTD_FORM_SUP_EDUC;QTD_FORM_SUP;TX_CRESC_GEO;DENSIDADE_DEMO;INDICE_ENVELHECIMENTO;POP_PRETA;POP_PARDA;POP;PIB_BRUTO;PARTICIPACAO_PIB_UF;PARTICIPACAO_PIB_MESOREGIAO;TX_PESSOAS_PRETA_OU_PARDA;PIB_POR_HABITANTE;GINI;TX_HOMICIDIO;TX_SUICIDIO;EXPORTACAO_PERCAPITA;POUPANCA_PERCAPITA;ARRECADACAO_TOTAL_IMPOSTOS_PERCAPITA;DESP_CIENCIA_TEC_PERCAPITA;VALOR_TOTAL_BF_PERCAPITA;DESP_LEGISLATIVO_PERCAPITA;RECEITA_IPTU_PERCAPITA;COTA_PARTE_FPM_PERCAPITA;DESP_SAUDE_SANEAMENTO_PERCAPITA;OPERACOES_CREDITO_PERCAPITA;INDICADOR_REND_P_FUND;SAEB_MEDIA_FUND;IDEB_2021_FUND;INDICADOR_REND_P_ENS_MEDIO;SAEB_MEDIA_ENS_MEDIO;IDEB_2021_ENS_MEDIO
4317707;santo antonio das missoes;RS;72.66;21.93;0.93;NA;73.76;77.35;92.91;210;927;-0.7;6.02;146.58;347;2570;10300;673944;0.12;0.56;0.283203883495146;65.4314563106796;0.45;9.71;38.83;NA;0.557749935225835;210.737478498018;NA;0.0440116504854369;180.435691262136;98.9995067961165;1817.00878640777;1179.5944631068;0.929613003297495;0.964541;5.578231;5.4;0.900177;4.149017;3.7
4317756;santo antonio do planalto;RS;92.03;3.06;NA;NA;94.61;77.21;96.57;51;179;0.42;10.27;142.12;31;186;2089;189468;0.03;0.16;0.103877453326951;90.6979415988511;0.44;0;95.74;NA;0.224723742594543;363.787520862047;NA;11.1134514121589;523.015011967449;157.21081857348;6719.19239827669;2259.86459071326;0.95628944473236;0.994062;6.191928;6.2;1;5.148533;5.1
4317806;santo augusto;RS;95.89;3.11;3.45;0.02;93.29;83.06;93.96;178;1539;-0.04;29.72;127.61;252;2901;13902;848436;0.15;0.7;0.226801899007337;61.0297798877859;0.57;7.19;7.19;23.9536757301108;1.75209003221282;268.39565298475;NA;0.0199589987052223;105.571433606675;147.510451014243;1682.79230326572;1025.62672924759;14.7623479630049;1;6.273326;6.3;0.905921;-;-
4317905;santo cristo;RS;90.86;4.38;4.99;NA;87.94;90.13;97.54;191;1983;0.53;41.72;154.62;233;1250;15320;784068;0.13;0.65;0.0968015665796345;51.1793733681462;0.44;6.53;26.11;170.801305483029;2.59800085903664;362.138187813515;NA;8.37930809399478;48.3513733681462;125.042561357702;1527.02272715405;922.775841383812;6.73495165747644;0.94897;6.379799;6.1;0.90625;-;-
4317954;santo expedito do sul;RS;65.83;14.85;3.6;NA;56.66;83.19;92.77;79;233;-0.39;18.7;201.12;30;373;2349;128952;0.02;0.11;0.171562366964666;54.8965517241379;0.43;0;42.57;NA;NA;103.036412711576;NA;9.49595572584078;293.108935717327;35.0990208599404;5975.47593018306;2238.45831843338;NA;1;5.963792;6;0.958277;4.936323;4.7
4318002;sao borja;RS;86.64;8.7;37.54;0.06;91.39;81.54;94.88;1423;7156;-0.27;16.5;116.35;2340;11706;59676;2570755;0.44;8.8;0.23537100341846;43.078540786916;0.55;5.03;13.41;28.9646591594611;1.56936563221363;297.033233592027;NA;14.7899658154032;133.568184362223;142.85010037536;819.41728198941;1466.16046635163;6.21570978820963;0.995375;5.805947;5.8;0.898454;-;-
4318051;sao domingos do sul;RS;93.76;0.19;6.72;NA;99.05;85.81;97.44;84;393;-0.5;35.01;216.84;29;248;2754;123435;0.02;0.1;0.100580973129993;44.8202614379085;0.44;0;72.62;NA;0.659112236044953;205.250553938367;NA;0.00145243282498184;159.100882352941;126.595911401598;5096.72945533769;2817.76629992738;0.829963765235258;1;-;-;1;5.640645;5.6
4318101;sao francisco de assis;RS;74.41;25.32;10.54;0.12;80.09;75.62;93.38;206;1385;-0.74;7.03;169.63;503;2299;17618;804119;0.14;2.75;0.159041888977182;45.6419003292088;0.54;5.68;11.35;NA;1.60751070715109;245.551745145931;NA;35.2220456351459;190.230824157112;136.246090929731;1593.41507662618;1194.55574242252;9.29195513005909;1;5.505914;5.5;0.985879;-;-
4318200;sao francisco de paula;RS;72.6;23.28;46.38;0.02;95.74;83.21;95.24;441;2072;0.53;6.6;99.83;1235;4280;21893;1026513;0.18;1.37;0.251907002238158;46.8877266706253;0.46;13.7;13.7;NA;2.4344814407267;332.83421823391;NA;19.1299502123967;88.6939556022473;282.361069291554;1273.54709359156;918.926064038734;3.97766512888716;0.991577;5.44906;5.4;0.970288;4.32193;4.2
4318309;sao gabriel;RS;90.09;9.03;68.55;0.06;91.48;82.69;94.23;798;5815;-0.27;11.57;114.93;4454;10650;58487;2723183;0.47;9.32;0.258245422059603;46.5604835262537;0.54;21.51;32.26;NA;1.72221764576429;295.656870609182;NA;0.0199540068733223;145.470921230359;142.817199035683;959.966685417272;796.785482243917;5.30790997538807;0.909143;5.947369;5.4;0.902428;4.866407;4.4
4318408;sao jeronimo;RS;78.28;21.1;33.06;0.17;85.87;79.6;94.36;250;2110;-0.43;22.48;118.3;1294;2648;21028;667010;0.11;0.27;0.187464333269926;31.7200875023778;0.55;4.76;0;14.67305497432;2.77366341349589;218.534481439848;NA;31.4672817196119;143.95733212859;NA;NA;792.692706867034;6.80261011567344;0.969779;5.666625;5.5;0.782044;-;-
4318424;sao joao da urtiga;RS;66.82;22.48;31.86;NA;87.75;82.35;93.95;76;429;-0.48;26.08;227.39;52;218;4461;184148;0.03;0.15;0.0605245460659045;41.2795337368303;0.4;0;22.42;NA;0.448314802413584;290.500289864008;NA;0.00751401031158933;202.391241874019;128.109567361578;3146.46781439139;1521.33642905178;0.615513498530688;1;6.206655;6.2;0.912454;5.275952;4.8
4318432;sao joao do polesine;RS;75.22;7.68;59.94;NA;98.08;87.7;97.62;45;413;0.19;33.82;218.11;232;455;2649;104817;0.02;0.4;0.259343148357871;39.5685164212911;0.53;0;0;88.8176670441676;NA;844.20915402909;NA;16.2219705549264;405.018901472254;245.589090222726;5298.75157417894;1666.78292563231;NA;1;7.315378;7.3;0.987004;-;-
